position,aspect,category,standard
Head of Engineering,Arsitektur Sistem,Technical Core,5
Head of Engineering,Code Review,Technical Core,4
Head of Engineering,Keamanan Aplikasi,Technical Core,4
Head of Engineering,CI/CD,Tools & Platform,4
Head of Engineering,Cloud Infrastructure,Tools & Platform,4
Head of Engineering,Observability,Tools & Platform,3
Senior Engineer,Kualitas Kode,Technical Core,4
Senior Engineer,Pengujian Otomatis,Technical Core,3
Senior Engineer,Debugging,Technical Core,4
Senior Engineer,Version Control,Tools & Platform,4
Frontend Lead,Arsitektur Komponen,Technical Core,4
Frontend Lead,State Management,Technical Core,4
Frontend Lead,Aksesibilitas,Technical Core,3
Frontend Lead,Performa Web,Tools & Platform,4
Frontend Lead,Design System,Tools & Platform,4
Backend Lead,Desain API,Technical Core,4
Backend Lead,Basis Data,Technical Core,4
Backend Lead,Optimasi Query,Technical Core,4
Backend Lead,Message Queue,Tools & Platform,3
Backend Lead,Containerization,Tools & Platform,3
Chief Executive Officer,Strategi Korporat,Technical Core,5
Chief Executive Officer,Alokasi Modal,Technical Core,5
Chief Executive Officer,Tata Kelola,Regulasi,5
Chief Strategy Officer,Strategi Korporat,Technical Core,5
Chief Strategy Officer,Analisis Kompetitif,Technical Core,5
Chief Strategy Officer,Pemodelan Skenario,Tools & Platform,4
VP Corporate Strategy,Strategi Korporat,Technical Core,4
VP Corporate Strategy,Analisis Kompetitif,Technical Core,4
VP Corporate Strategy,Pemodelan Skenario,Tools & Platform,4
Head of Governance,Manajemen Risiko,Technical Core,4
Head of Governance,Kepatuhan Regulasi,Regulasi,5
Head of Governance,Audit Internal,Regulasi,4
Head of Finance,Pelaporan Keuangan,Technical Core,5
Head of Finance,Analisis Anggaran,Technical Core,5
Head of Finance,Manajemen Risiko,Technical Core,4
Head of Finance,Kepatuhan Pajak,Regulasi,4
Head of Finance,Standar Akuntansi,Regulasi,4
Senior Finance Analyst,Pemodelan Keuangan,Technical Core,4
Senior Finance Analyst,Analisis Varians,Technical Core,4
Senior Finance Analyst,Rekonsiliasi,Technical Core,3
Senior Finance Analyst,Spreadsheet Lanjutan,Tools & Platform,4
Senior Finance Analyst,Standar Akuntansi,Regulasi,3
Finance Analyst,Pemodelan Keuangan,Technical Core,3
Finance Analyst,Rekonsiliasi,Technical Core,3
Finance Analyst,Analisis Varians,Technical Core,3
Finance Analyst,Spreadsheet Lanjutan,Tools & Platform,4
Finance Analyst,Standar Akuntansi,Regulasi,3
Controller,Pengendalian Internal,Technical Core,4
Controller,Pelaporan Keuangan,Technical Core,4
Controller,Audit Kepatuhan,Regulasi,4
Controller,Standar Akuntansi,Regulasi,4
HR Business Partner,Manajemen Talenta,Technical Core,4
HR Business Partner,Perencanaan SDM,Technical Core,4
HR Business Partner,Hubungan Industrial,Regulasi,4
HR Business Partner,HRIS,Tools & Platform,3
HR Manager,Manajemen Kinerja,Technical Core,4
HR Manager,Remunerasi,Technical Core,3
HR Manager,Hubungan Industrial,Regulasi,4
HR Manager,HRIS,Tools & Platform,3
Talent Acquisition Lead,Sourcing Kandidat,Technical Core,4
Talent Acquisition Lead,Teknik Wawancara,Technical Core,4
Talent Acquisition Lead,Employer Branding,Technical Core,3
Talent Acquisition Lead,ATS,Tools & Platform,4
People Ops Specialist,Administrasi Personalia,Technical Core,3
People Ops Specialist,Onboarding,Technical Core,3
People Ops Specialist,Kepatuhan Ketenagakerjaan,Regulasi,3
People Ops Specialist,HRIS,Tools & Platform,3
VP Operations,Perencanaan Kapasitas,Technical Core,5
VP Operations,Manajemen Rantai Pasok,Technical Core,4
VP Operations,Kendali Mutu,Technical Core,4
VP Operations,Analitik Operasional,Tools & Platform,4
VP Operations,Keselamatan Kerja,Regulasi,4
Operations Manager,Perencanaan Produksi,Technical Core,4
Operations Manager,Kendali Mutu,Technical Core,4
Operations Manager,Efisiensi Proses,Technical Core,3
Operations Manager,Keselamatan Kerja,Regulasi,4
Supply Chain Lead,Manajemen Rantai Pasok,Technical Core,4
Supply Chain Lead,Manajemen Vendor,Technical Core,4
Supply Chain Lead,Perencanaan Inventori,Technical Core,4
Supply Chain Lead,Sistem ERP,Tools & Platform,3
Operations Analyst,Analitik Operasional,Technical Core,3
Operations Analyst,Pemetaan Proses,Technical Core,3
Operations Analyst,Spreadsheet Lanjutan,Tools & Platform,3
Head of Marketing,Strategi Kampanye,Technical Core,5
