id,aspect,level,key_behaviour,score
p01,Mendengar Aktif,1,Mencatat hal yang disampaikan klien tanpa memotong pembicaraan,1
p01,Mendengar Aktif,1,Mengulang kembali informasi faktual dengan benar,3
p01,Mendengar Aktif,1,Menahan diri untuk tidak langsung menawarkan produk,2
p01,Mendengar Aktif,2,Mengonfirmasi pemahaman atas poin utama sebelum melanjutkan,2
p01,Mendengar Aktif,2,Mengajukan pertanyaan klarifikasi saat ada informasi yang kabur,1
p01,Mendengar Aktif,2,Menyesuaikan kecepatan bicara dengan gaya lawan bicara,3
p01,Mendengar Aktif,3,Menggali pernyataan implisit dengan pertanyaan lanjutan yang relevan,1
p01,Mendengar Aktif,3,Membedakan keluhan permukaan dari masalah yang sebenarnya,2
p01,Mendengar Aktif,3,"Merangkum kebutuhan klien dengan bahasa klien, bukan bahasa produk",2
p01,Mendengar Aktif,4,"Menangkap kebutuhan yang tidak terucap dari nada, jeda, dan keraguan",3
p01,Mendengar Aktif,4,Mengelola percakapan multi-pihak dan memastikan setiap suara terdengar,1
p01,Mendengar Aktif,4,Mengenali ketika jawaban klien menghindari isu yang sesungguhnya,1
p01,Mendengar Aktif,5,Melatih rekan kerja membaca sinyal halus dalam percakapan komersial,2
p01,Mendengar Aktif,5,Merancang panduan diskusi diagnostik yang dipakai tim,3
p01,Mendengar Aktif,5,Menggunakan wawasan dari lapangan sebagai masukan strategi produk,1
p01,Inisiatif,1,Mengerjakan daftar prospek yang diberikan hingga tuntas,2
p01,Inisiatif,1,Melaporkan peluang yang ditemukan secara tidak sengaja,2
p01,Inisiatif,1,Meminta pekerjaan tambahan ketika target harian selesai,1
p01,Inisiatif,2,Mencari prospek tambahan dari sumber yang sudah tersedia,2
p01,Inisiatif,2,Mengusulkan perbaikan kecil pada materi atau proses penjualan,1
p01,Inisiatif,2,Menindaklanjuti peluang lintas produk tanpa diminta,2
p01,Inisiatif,3,Menyusun daftar target sendiri berdasarkan riset segmen,1
p01,Inisiatif,3,Menguji pendekatan baru dan mengukur hasilnya secara mandiri,1
p01,Inisiatif,3,Mengambil alih akun bermasalah sebelum menjadi eskalasi,1
p01,Inisiatif,4,Membuka kanal atau segmen baru atas inisiatif sendiri,2
p01,Inisiatif,4,Membangun kemitraan eksternal yang menghasilkan aliran prospek,1
p01,Inisiatif,4,Menginisiasi proyek lintas fungsi untuk mengatasi hambatan penjualan,1
p01,Inisiatif,5,Menciptakan peluang pasar baru yang berkembang menjadi lini bisnis,1
p01,Inisiatif,5,Mendorong perubahan strategi komersial berdasarkan temuan lapangan,1
p01,Inisiatif,5,Membangun budaya proaktif yang direplikasi tim lain,1
p01,Keandalan,1,Hadir dan merespons sesuai komitmen waktu yang disepakati,2
p01,Keandalan,1,Menyelesaikan tugas administratif tepat waktu,4
p01,Keandalan,1,Memberi tahu lebih awal jika ada keterlambatan,2
