id,aspect,key_behaviour,score
p01,Arsitektur Sistem,Penguasaan Konsep Dasar,4
p01,Arsitektur Sistem,Penerapan pada Pekerjaan Harian,4
p01,Arsitektur Sistem,Penanganan Kasus Kompleks,3
p01,Arsitektur Sistem,Berbagi Pengetahuan ke Tim,4
p01,Code Review,Penguasaan Konsep Dasar,1
p01,Code Review,Penerapan pada Pekerjaan Harian,1
p01,Code Review,Penanganan Kasus Kompleks,2
p01,Code Review,Berbagi Pengetahuan ke Tim,1
p01,Keamanan Aplikasi,Penguasaan Konsep Dasar,5
p01,Keamanan Aplikasi,Penerapan pada Pekerjaan Harian,5
p01,Keamanan Aplikasi,Penanganan Kasus Kompleks,5
p01,Keamanan Aplikasi,Berbagi Pengetahuan ke Tim,5
p01,CI/CD,Penguasaan Fitur Inti,5
p01,CI/CD,Pemakaian dalam Alur Kerja,5
p01,CI/CD,Troubleshooting Mandiri,4
p01,CI/CD,Optimasi & Otomasi,5
p01,Cloud Infrastructure,Penguasaan Fitur Inti,3
p01,Cloud Infrastructure,Pemakaian dalam Alur Kerja,3
p01,Cloud Infrastructure,Troubleshooting Mandiri,4
p01,Cloud Infrastructure,Optimasi & Otomasi,4
p01,Observability,Penguasaan Fitur Inti,3
p01,Observability,Pemakaian dalam Alur Kerja,3
p01,Observability,Troubleshooting Mandiri,1
p01,Observability,Optimasi & Otomasi,2
p02,Kualitas Kode,Penguasaan Konsep Dasar,3
p02,Kualitas Kode,Penerapan pada Pekerjaan Harian,3
p02,Kualitas Kode,Penanganan Kasus Kompleks,5
p02,Kualitas Kode,Berbagi Pengetahuan ke Tim,3
p02,Pengujian Otomatis,Penguasaan Konsep Dasar,4
p02,Pengujian Otomatis,Penerapan pada Pekerjaan Harian,4
p02,Pengujian Otomatis,Penanganan Kasus Kompleks,4
p02,Pengujian Otomatis,Berbagi Pengetahuan ke Tim,4
p02,Debugging,Penguasaan Konsep Dasar,5
p02,Debugging,Penerapan pada Pekerjaan Harian,5
p02,Debugging,Penanganan Kasus Kompleks,4
p02,Debugging,Berbagi Pengetahuan ke Tim,5
p02,Version Control,Penguasaan Fitur Inti,5
p02,Version Control,Pemakaian dalam Alur Kerja,5
p02,Version Control,Troubleshooting Mandiri,5
p02,Version Control,Optimasi & Otomasi,5
p03,Arsitektur Komponen,Penguasaan Konsep Dasar,3
p03,Arsitektur Komponen,Penerapan pada Pekerjaan Harian,3
p03,Arsitektur Komponen,Penanganan Kasus Kompleks,4
p03,Arsitektur Komponen,Berbagi Pengetahuan ke Tim,3
p03,State Management,Penguasaan Konsep Dasar,4
p03,State Management,Penerapan pada Pekerjaan Harian,4
p03,State Management,Penanganan Kasus Kompleks,5
p03,State Management,Berbagi Pengetahuan ke Tim,4
p03,Aksesibilitas,Penguasaan Konsep Dasar,3
p03,Aksesibilitas,Penerapan pada Pekerjaan Harian,3
p03,Aksesibilitas,Penanganan Kasus Kompleks,3
p03,Aksesibilitas,Berbagi Pengetahuan ke Tim,3
p03,Performa Web,Penguasaan Fitur Inti,4
p03,Performa Web,Pemakaian dalam Alur Kerja,4
p03,Performa Web,Troubleshooting Mandiri,5
p03,Performa Web,Optimasi & Otomasi,4
p03,Design System,Penguasaan Fitur Inti,5
p03,Design System,Pemakaian dalam Alur Kerja,5
p03,Design System,Troubleshooting Mandiri,5
p03,Design System,Optimasi & Otomasi,5
p04,Desain API,Penguasaan Konsep Dasar,3
p04,Desain API,Penerapan pada Pekerjaan Harian,3
p04,Desain API,Penanganan Kasus Kompleks,2
p04,Desain API,Berbagi Pengetahuan ke Tim,3
p04,Basis Data,Penguasaan Konsep Dasar,1
p04,Basis Data,Penerapan pada Pekerjaan Harian,1
p04,Basis Data,Penanganan Kasus Kompleks,2
p04,Basis Data,Berbagi Pengetahuan ke Tim,1
p04,Optimasi Query,Penguasaan Konsep Dasar,5
p04,Optimasi Query,Penerapan pada Pekerjaan Harian,5
