aspect,level,key_behaviour
Penguasaan Produk & Pasar,1,Menjelaskan fitur utama produk sendiri secara akurat
Penguasaan Produk & Pasar,1,Menghafal struktur harga dan paket yang berlaku
Penguasaan Produk & Pasar,1,Menyampaikan value proposition standar tanpa penyesuaian
Penguasaan Produk & Pasar,2,Membandingkan produk sendiri dengan satu hingga dua kompetitor utama
Penguasaan Produk & Pasar,2,Mengidentifikasi segmen pasar yang menjadi target perusahaan
Penguasaan Produk & Pasar,2,Menerapkan teknik penjualan dasar yang diajarkan tim
Penguasaan Produk & Pasar,3,Memilih teknik penjualan yang sesuai dengan tipe dan kematangan prospek
Penguasaan Produk & Pasar,3,Memetakan posisi kompetitor pada kategori produk tertentu
Penguasaan Produk & Pasar,3,Menyusun proposal komersial mandiri tanpa template kaku
Penguasaan Produk & Pasar,4,Merancang pendekatan penetrasi untuk segmen pasar yang belum digarap
Penguasaan Produk & Pasar,4,Membaca tren industri dan menyesuaikan narasi penjualan
Penguasaan Produk & Pasar,4,Mengevaluasi efektivitas kanal penjualan berdasarkan data konversi
Penguasaan Produk & Pasar,5,Membentuk strategi penjualan tingkat perusahaan lintas segmen
Penguasaan Produk & Pasar,5,Mengantisipasi pergeseran pasar sebelum tercermin di angka penjualan
Penguasaan Produk & Pasar,5,Menjadi rujukan internal dan eksternal untuk kategori produk ini
Pemahaman Organisasi Klien,1,Menyebutkan bidang usaha dan skala organisasi klien
Pemahaman Organisasi Klien,1,Mengenali nama jabatan kontak utama di akun
Pemahaman Organisasi Klien,1,Memahami perbedaan dasar antara fungsi bisnis klien
Pemahaman Organisasi Klien,2,Membedakan pengambil keputusan dari pemberi pengaruh di akun
Pemahaman Organisasi Klien,2,Mengidentifikasi divisi mana yang memiliki anggaran relevan
Pemahaman Organisasi Klien,2,Memahami siklus perencanaan anggaran tahunan klien
Pemahaman Organisasi Klien,3,Memetakan alur persetujuan dan wewenang belanja di organisasi klien
Pemahaman Organisasi Klien,3,Menyesuaikan pendekatan dengan model operasi klien (terpusat atau tersebar)
Pemahaman Organisasi Klien,3,Mengidentifikasi inisiatif strategis klien yang bisa dikaitkan dengan solusi
Pemahaman Organisasi Klien,4,Menavigasi kepentingan yang saling bertentangan antar divisi klien
Pemahaman Organisasi Klien,4,Memprediksi dampak perubahan struktur organisasi klien pada peluang
Pemahaman Organisasi Klien,4,Membangun akses ke level pengambil keputusan di luar kontak awal
Pemahaman Organisasi Klien,5,Membangun hubungan setingkat direksi dan memengaruhi prioritas strategis klien
Pemahaman Organisasi Klien,5,Menjadi penasihat yang diajak bicara sebelum anggaran disusun
Pemahaman Organisasi Klien,5,Merancang model engagement organisasi untuk akun enterprise
Penguasaan Sales Technology,1,Memasukkan catatan aktivitas ke CRM sesuai instruksi
Penguasaan Sales Technology,1,Mengoperasikan perangkat presentasi dan konferensi daring
Penguasaan Sales Technology,1,Menemukan dokumen dan materi penjualan di repositori tim
Penguasaan Sales Technology,2,Menjaga status pipeline di CRM tetap mutakhir tanpa diingatkan
Penguasaan Sales Technology,2,Menggunakan template dan sekuens komunikasi yang tersedia
Penguasaan Sales Technology,2,Menghasilkan laporan aktivitas standar dari sistem
Penguasaan Sales Technology,3,Memanfaatkan laporan CRM untuk menentukan prioritas kerja mingguan
Penguasaan Sales Technology,3,Menggabungkan data dari beberapa sumber untuk menyiapkan pertemuan
Penguasaan Sales Technology,3,Menjaga kualitas dan konsistensi data akun yang menjadi tanggung jawabnya
Penguasaan Sales Technology,4,Mengoptimalkan alur kerja dan otomasi di CRM untuk timnya
Penguasaan Sales Technology,4,Mengevaluasi kelayakan tools penjualan baru berdasarkan kasus nyata
Penguasaan Sales Technology,4,Membangun dashboard yang dipakai rekan kerja untuk pengambilan keputusan
Penguasaan Sales Technology,5,Merancang arsitektur sales tech stack dan standar tata kelola data
Penguasaan Sales Technology,5,Menetapkan definisi metrik yang berlaku untuk seluruh organisasi penjualan
Penguasaan Sales Technology,5,Memimpin adopsi teknologi penjualan baru lintas tim
Mendengar Aktif,1,Mencatat hal yang disampaikan klien tanpa memotong pembicaraan
Mendengar Aktif,1,Mengulang kembali informasi faktual dengan benar
Mendengar Aktif,1,Menahan diri untuk tidak langsung menawarkan produk
Mendengar Aktif,2,Mengonfirmasi pemahaman atas poin utama sebelum melanjutkan
Mendengar Aktif,2,Mengajukan pertanyaan klarifikasi saat ada informasi yang kabur
Mendengar Aktif,2,Menyesuaikan kecepatan bicara dengan gaya lawan bicara
Mendengar Aktif,3,Menggali pernyataan implisit dengan pertanyaan lanjutan yang relevan
Mendengar Aktif,3,Membedakan keluhan permukaan dari masalah yang sebenarnya
Mendengar Aktif,3,"Merangkum kebutuhan klien dengan bahasa klien, bukan bahasa produk"
Mendengar Aktif,4,"Menangkap kebutuhan yang tidak terucap dari nada, jeda, dan keraguan"
Mendengar Aktif,4,Mengelola percakapan multi-pihak dan memastikan setiap suara terdengar
Mendengar Aktif,4,Mengenali ketika jawaban klien menghindari isu yang sesungguhnya
Mendengar Aktif,5,Melatih rekan kerja membaca sinyal halus dalam percakapan komersial
Mendengar Aktif,5,Merancang panduan diskusi diagnostik yang dipakai tim
Mendengar Aktif,5,Menggunakan wawasan dari lapangan sebagai masukan strategi produk
Analisis Kebutuhan Klien,1,Mengumpulkan daftar kebutuhan yang disebutkan langsung oleh prospek
Analisis Kebutuhan Klien,1,Mencatat kendala operasional yang diungkapkan tanpa menafsirkan
Analisis Kebutuhan Klien,1,Menyampaikan kebutuhan tersebut ke tim solusi secara utuh
Analisis Kebutuhan Klien,2,Menerjemahkan kebutuhan yang dinyatakan menjadi daftar fitur relevan
Analisis Kebutuhan Klien,2,Mengidentifikasi kebutuhan mana yang di luar cakupan produk
Analisis Kebutuhan Klien,2,Menyusun ringkasan kebutuhan yang bisa dipakai tim teknis
Analisis Kebutuhan Klien,3,Menjalankan diskusi diagnostik untuk menemukan akar masalah bisnis
Analisis Kebutuhan Klien,3,Memisahkan kebutuhan yang wajib dari yang sekadar diinginkan
Analisis Kebutuhan Klien,3,Menyusun peta kondisi saat ini versus kondisi yang diharapkan klien
Analisis Kebutuhan Klien,4,Merancang solusi gabungan lintas produk untuk kebutuhan yang kompleks
Analisis Kebutuhan Klien,4,Mengidentifikasi kebutuhan yang belum disadari klien dan membuktikannya
Analisis Kebutuhan Klien,4,Menilai kelayakan implementasi terhadap kapasitas nyata organisasi klien
Analisis Kebutuhan Klien,5,Merumuskan pola kebutuhan pasar yang berulang menjadi masukan roadmap produk
Analisis Kebutuhan Klien,5,Menetapkan metodologi discovery yang menjadi standar tim
Analisis Kebutuhan Klien,5,Mendefinisikan kategori masalah baru yang belum dilayani pasar
Ketajaman Komersial,1,"Memahami struktur harga, diskon, dan syarat pembayaran produk sendiri"
Ketajaman Komersial,1,Menghitung nilai kontrak dasar dengan benar
Ketajaman Komersial,1,Mengenali istilah finansial umum dalam percakapan bisnis
Ketajaman Komersial,2,Menghitung dampak diskon terhadap margin sebelum menawarkan
Ketajaman Komersial,2,Menjelaskan struktur biaya solusi kepada prospek secara jelas
Ketajaman Komersial,2,Membedakan belanja modal dan belanja operasional pada proposal
Ketajaman Komersial,3,Menyusun kalkulasi imbal hasil sederhana yang bisa diverifikasi prospek
Ketajaman Komersial,3,Mengaitkan solusi dengan pos anggaran yang sudah ada di klien
Ketajaman Komersial,3,Menjelaskan konsekuensi finansial dari tidak mengambil tindakan
Ketajaman Komersial,4,Membangun business case lengkap dengan periode balik modal dan biaya kepemilikan
Ketajaman Komersial,4,Merancang struktur komersial yang menyesuaikan siklus kas klien
Ketajaman Komersial,4,Menantang asumsi finansial klien dengan data pembanding industri
Ketajaman Komersial,5,Menegosiasikan skema komersial kompleks seperti kontrak multi-tahun atau bagi hasil
Ketajaman Komersial,5,Menetapkan kerangka penetapan harga yang dipakai tim penjualan
Ketajaman Komersial,5,Menghubungkan strategi penjualan dengan target profitabilitas perusahaan
Persuasi,1,Menyampaikan fitur produk sesuai naskah yang disediakan
Persuasi,1,Menggunakan materi presentasi standar untuk semua prospek
