id,participant_id,type,status,due_date
a01,p01,Leadership Assessment,completed,2026-05-10
a02,p02,Technical Review,in_progress,2026-06-01
a03,p03,IDP Check-in,todo,2026-06-15
a04,p04,360 Feedback,waiting_review,2026-05-28
a05,p05,Succession Review,completed,2026-04-30
a06,p06,Leadership Assessment,in_progress,2026-06-05
a07,p07,Competency Test,completed,2026-05-12
a08,p09,IDP Check-in,todo,2026-06-20
a09,p10,Technical Review,in_progress,2026-06-02
a10,p12,360 Feedback,completed,2026-05-18
a11,p13,Engagement Survey,waiting_review,2026-05-25
a12,p14,Leadership Assessment,in_progress,2026-06-08
a13,p17,Succession Review,completed,2026-05-05
a14,p18,IDP Check-in,todo,2026-06-22
a15,p20,Competency Test,waiting_review,2026-05-30
a16,p21,Leadership Assessment,completed,2026-05-14
a17,p23,360 Feedback,in_progress,2026-06-10
a18,p11,IDP Check-in,todo,2026-06-25
