aspect,category,description
Mendengar Aktif,General,"Memberi perhatian penuh pada lawan bicara, memahami maksud, dan mengajukan pertanyaan yang tepat."
Koordinasi Lintas Fungsi,General,Menyesuaikan tindakan diri dengan tindakan orang lain untuk mencapai hasil bersama.
Keandalan,General,"Dapat diandalkan, bertanggung jawab, dan memenuhi kewajiban."
Inisiatif,General,Kesediaan mengambil tanggung jawab dan tantangan tanpa menunggu instruksi.
Enablement Klien,General,Mengajarkan orang lain cara melakukan sesuatu.
Pemantauan Kinerja Akun,General,"Memantau dan menilai kinerja diri, orang lain, atau organisasi untuk melakukan perbaikan."
Negosiasi,General,Mempertemukan pihak-pihak yang berbeda kepentingan dan mengupayakan kesepakatan.
Kegigihan,General,Ketekunan menghadapi hambatan dan tidak mudah menyerah pada penolakan.
Persuasi,General,Membujuk orang lain untuk mengubah pikiran atau perilaku.
Kemitraan Strategis,General,"Memosisikan diri sebagai mitra sejajar klien: berani jujur, membawa perspektif luar, dan dipercaya terlibat sebelum kebutuhan dirumuskan. FOKUS pada POSISI dan KEBERANIAN, bukan pada teknik menggali kebutuhan (lihat aspek OA dan AL)."
Orientasi Melayani,General,Aktif mencari cara untuk membantu orang lain.
Kepekaan Sosial,General,Menyadari reaksi orang lain dan memahami mengapa mereka bereaksi demikian.
Ketahanan Tekanan,General,Menerima kritik dan menghadapi situasi bertekanan tinggi dengan tenang dan efektif.
Pemahaman Organisasi Klien,Technical,"Pengetahuan tentang prinsip bisnis dan manajemen: struktur, alokasi sumber daya, koordinasi."
Penguasaan Sales Technology,Technical,Kemampuan memanfaatkan perangkat lunak dan sistem pendukung kerja penjualan.
Manajemen Layanan Klien,Technical,"Prinsip dan proses layanan pelanggan: penilaian kebutuhan, standar mutu, evaluasi kepuasan."
Ketajaman Komersial,Technical,"Pengetahuan tentang prinsip ekonomi dan akuntansi, analisis data finansial, dan pelaporan."
Analisis Kebutuhan Klien,Technical,Menganalisis kebutuhan dan persyaratan untuk merumuskan rancangan solusi.
Evaluasi Kesehatan Akun,Technical,Mengidentifikasi ukuran kinerja sistem dan tindakan yang diperlukan untuk memperbaikinya.
Penguasaan Produk & Pasar,Technical,"Pengetahuan tentang produk, strategi penjualan, teknik demonstrasi, dan lanskap pasar."
Rekayasa Perangkat Lunak,Technical,"Kemampuan menulis, menguji, dan merawat kode yang benar, mudah dibaca, dan bertahan terhadap perubahan."
Arsitektur & Rancangan Sistem,Technical,"Kemampuan menyusun struktur sistem yang aman, terukur, dan mudah dirawat, beserta alasan di balik tiap pilihannya."
Keandalan & Operasional Sistem,Technical,"Kemampuan menjaga layanan tetap hidup: memantau, menangani gangguan, dan mencegahnya berulang."
Keamanan Informasi,Technical,"Kemampuan mengenali dan menutup celah keamanan pada sistem, data, dan cara kerja sehari-hari."
Pengelolaan Data,Technical,"Kemampuan menyiapkan, mengolah, dan menjaga mutu data agar layak dipakai untuk pengambilan keputusan."
Pelaporan & Standar Akuntansi,Technical,"Kemampuan menyusun laporan keuangan yang benar, tepat waktu, dan sesuai standar yang berlaku."
Analisis & Perencanaan Keuangan,Technical,"Kemampuan membaca angka menjadi keputusan: menyusun anggaran, proyeksi, dan menilai kelayakan investasi."
Pengendalian & Kepatuhan,Technical,"Kemampuan menjaga proses keuangan berjalan sesuai aturan, termasuk perpajakan dan pengendalian internal."
Perbaikan Proses,Technical,"Kemampuan memetakan cara kerja yang berjalan, menemukan pemborosan, dan merapikannya."
Kendali Mutu,Technical,"Kemampuan menjaga hasil kerja memenuhi standar mutu, termasuk menangani penyimpangan yang muncul."
Manajemen Rantai Pasok,Technical,"Kemampuan menjaga ketersediaan barang dan jasa: perencanaan kebutuhan, pemasok, dan persediaan."
Rekrutmen & Seleksi,Technical,"Kemampuan menemukan, menilai, dan meyakinkan kandidat yang sesuai kebutuhan jabatan."
Pengembangan Talenta,Technical,"Kemampuan menumbuhkan kemampuan orang: menilai kebutuhan, menyiapkan program, dan menyiapkan penerus."
Manajemen Kinerja & Remunerasi,Technical,Kemampuan menjalankan penilaian kinerja yang adil dan menyusun imbalan yang bersaing serta layak.
Analisis Strategis,Technical,"Kemampuan membaca lanskap bisnis — pasar, pesaing, dan kemampuan internal — menjadi pilihan yang bisa diputuskan."
Tata Kelola & Manajemen Risiko,Technical,Kemampuan menjaga keputusan perusahaan berjalan lewat mekanisme yang benar dan risikonya terkelola.
Strategi Merek & Komunikasi,Technical,Kemampuan membangun posisi merek dan menyampaikannya secara konsisten di seluruh titik sentuh.
Pemasaran Digital & Analitik,Technical,"Kemampuan menjalankan dan mengukur kegiatan pemasaran di kanal digital, lalu memperbaikinya dari data."
Riset Pasar & Wawasan Pelanggan,Technical,"Kemampuan menggali kebutuhan dan perilaku pelanggan, lalu mengubahnya jadi arahan yang bisa dipakai."
